TrialNumber,Row,Column,Simulated_ThreePatchesLlyod,Simulated_TwoPatchesMerged,Simulated_Array,Simulated_ConditionalResiduals,Simulated_MarginalResiduals,Simulated_TwoPatchesVerified,Estimated_TreeDepth0,Estimated_TreeDepth1,Estimated_TreeDepth2,Estimated_TreeDepth3,Estimated_TreeDepth4,Estimated_TreeDepth5,Estimated_TreeDepth6,Estimated_PatchesIdentified,Estimated_PatchesLocalAuthenticated,Estimated_PatchesLocalVerified,Estimated_PatchesGlobalAuthenticated,Estimated_PatchesGlobalVerified,Estimated_PatchesFinalAuthenticatedAnecdotal,Estimated_PatchesFinalVerifiedAnecdotal,Estimated_PatchesFinalAuthenticatedModerate,Estimated_PatchesFinalVerifiedModerate,Estimated_PatchesFinalAuthenticatedStrong,Estimated_PatchesFinalVerifiedStrong,Estimated_PatchesFinalAuthenticatedVerystrong,Estimated_PatchesFinalVerifiedVerystrong,Estimated_PatchesFinalAuthenticatedDecisive,Estimated_PatchesFinalVerifiedDecisive
Trial46,16,103,0.0,0.0,22.13619999290768,1.8501034293984189,2.37991980567761,0.0,0.0,2.0,23.0,25.0,28.0,31.0,31.0,25.0,25.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Trial46,16,104,0.0,0.0,6.806762848298348,-0.502578929105041,0.7434899710987218,0.0,0.0,2.0,23.0,25.0,28.0,32.0,32.0,25.0,24.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Trial46,16,105,0.0,0.0,1.7938374922044953,0.2983420494975712,0.2083561280330156,0.0,0.0,2.0,24.0,35.0,37.0,,,24.0,24.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Trial46,16,106,1.0,1.0,-2.3601571388517115,-0.3443790964696651,-0.2350861642582802,1.0,0.0,2.0,24.0,35.0,38.0,,,24.0,24.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Trial46,16,107,1.0,1.0,-3.1882501862980845,0.380303143538098,-0.3234857679661782,1.0,0.0,2.0,24.0,36.0,39.0,,,24.0,24.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Trial46,16,108,1.0,1.0,-5.958509983412619,-0.3111656037958795,-0.6192132456790082,1.0,0.0,2.0,24.0,36.0,39.0,,,24.0,24.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Trial46,17,101,0.0,0.0,-2.1861761551024683,-1.0745648996901265,-0.216513553289536,0.0,0.0,2.0,23.0,25.0,27.0,29.0,29.0,25.0,25.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Trial46,17,102,0.0,0.0,2.2378166020062515,1.2435922730514348,0.2557512577012214,0.0,0.0,2.0,23.0,25.0,27.0,30.0,30.0,25.0,25.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Trial46,17,103,0.0,0.0,9.354389394652006,-0.4768737993163406,1.015451168922893,0.0,0.0,2.0,23.0,25.0,28.0,31.0,31.0,25.0,25.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Trial46,17,104,0.0,0.0,-2.1303437770513742,0.3114497765649412,-0.2105534016990761,0.0,0.0,2.0,23.0,25.0,28.0,32.0,32.0,25.0,24.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
